#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
9.75,1200,6739.033837
7.85,1200,6755.368859
104.95,125,6757.336624
127.15,811,6768.076816
26.0,1200,6784.429738
140.4,996,6798.104474
-992.1,1087,6812.869392
21.25,1200,6829.355899
107.3,146,6831.209648
26.85,1200,6847.486823
17.45,1200,6863.468571
23.4,1200,6879.685398
104.8,96,6880.906354
28.55,1200,6896.882525
104.0,80,6898.076536
129.2,849,6909.783894
113.1,337,6914.150322
105.2,104,6915.482888
113.7,276,6919.483761
7.1,1200,6935.624866
-985.4,1200,6951.758096
127.5,784,6961.876872
-999.55,868,6973.79141
12.65,1200,6990.092068
7.4,1200,7006.571336
-997.95,1065,7020.696088
-999.95,828,7032.118227
100.8,19,7032.438093
22.35,1200,7048.816949
109.5,192,7051.304616
26.85,1200,7067.698844
34.4,1200,7083.971898
103.1,62,7084.794867
27.2,1200,7100.934696
17.95,1200,7117.201198
-997.95,1136,7132.575214
100.05,1,7132.594272
20.0,1200,7148.691364
12.9,1200,7164.731268
110.05,204,7167.374379
10.95,1200,7185.573272
100.0,1,7185.590353
0.5,1200,7201.910205
109.35,241,7205.390225
121.85,625,7213.781757
-993.35,1089,7228.642578
18.3,1200,7244.653812
-997.85,1035,7258.845092
27.95,1200,7275.194914
104.35,87,7276.407881
-996.1,873,7288.31347
126.1,953,7300.871774
101.9,38,7301.486387
10.5,1200,7317.723729
114.4,325,7322.276547
104.55,92,7323.471396
30.25,1200,7339.984937
30.0,1200,7356.277037
30.8,1200,7372.732182
37.1,1200,7388.707857
30.75,1200,7404.978595
34.95,1200,7421.468378
100.05,1,7421.48292
6.65,1200,7437.759974
126.9,977,7451.218507
128.4,1067,7465.957862
15.25,1200,7482.466336
32.5,1200,7498.701209
38.75,1200,7514.939517
130.9,916,7527.539822
121.5,795,7537.756483
121.3,581,7546.186186
35.35,1200,7562.585563
113.3,316,7566.554979
34.15,1200,7582.686188
114.9,309,7586.569251
108.0,198,7589.554099
29.15,1200,7605.911475
115.7,352,7610.800429
19.35,1200,7627.172072
-996.65,1181,7643.315685
110.3,208,7645.962163
100.0,1,7645.975183
100.0,1,7645.986694
109.1,190,7648.387622
31.75,1200,7664.675309
20.8,1200,7681.114388
114.15,286,7685.006453
118.55,551,7692.616743
4.25,1200,7709.002053
101.2,25,7709.31487
-999.75,1084,7724.318891
32.45,1200,7740.424713
100.05,1,7740.442296
25.85,1200,7756.735444
103.0,61,7757.492692
105.85,126,7759.051965
10.2,1200,7775.505551
26.45,1200,7791.979877
10.15,1200,7808.38175
108.7,174,7810.690518
